Time,XRotation,YRotation,ZRotation,XPosition,YPosition,ZPosition
2.643675,-0.1285109,0.0007752086,0.00486703,-0.0007156022,0.01803828,-0.02177505
2.643675,-0.128505,0.0007783136,0.004862267,-0.000714615,0.01803755,-0.0217739
2.643675,-0.128507,0.000769378,0.00486511,-0.0007162541,0.01803787,-0.02177437
2.643675,-0.1285172,0.0007678975,0.004869483,-0.0007172301,0.01803881,-0.02177605
2.643675,-0.1285182,0.0007697239,0.004873616,-0.0007177144,0.0180394,-0.02177668
2.643675,-0.1284944,0.0007721023,0.004863544,-0.0007156134,0.01803667,-0.02177227
2.643675,-0.1284923,0.0007707775,0.004858251,-0.0007151738,0.01803601,-0.0217715
2.643675,-0.1285152,0.0007705609,0.004856668,-0.000714615,0.01803874,-0.02177581
2.643675,-0.1285365,0.0007703009,0.004859502,-0.0007152967,0.01804128,-0.02177982
2.643675,-0.1285126,0.0007694142,0.004849197,-0.0007134527,0.01803916,-0.02177599
2.643675,-0.128495,0.0007707581,0.00485288,-0.0007140785,0.01803637,-0.02177203
2.643675,-0.1284943,0.0007786998,0.004852102,-0.0007128976,0.01803626,-0.02177187
2.643675,-0.1285131,0.0007877797,0.004852686,-0.0007121637,0.01803838,-0.02177529
2.643675,-0.1285105,0.0007904962,0.004861093,-0.0007127821,0.0180382,-0.02177493
2.643675,-0.1284891,0.0007903875,0.00485495,-0.0007116869,0.01803577,-0.021771
2.643675,-0.1284957,0.0007975094,0.004857081,-0.0007110983,0.01803626,-0.02177196
2.643675,-0.1285233,0.0008018181,0.004860096,-0.000711035,0.01803924,-0.02177687
2.643675,-0.1285182,0.0008015927,0.004856326,-0.0007105246,0.01803951,-0.02177672
2.643675,-0.1284947,0.0008021478,0.004863491,-0.0007114075,0.01803658,-0.02177218
2.643675,-0.1284894,0.0008022642,0.004860866,-0.0007109381,0.0180357,-0.02177094
2.643675,-0.1285237,0.000805083,0.004869337,-0.0007121041,0.01803924,-0.02177691
2.643675,-0.1285382,0.0008016191,0.004872315,-0.0007129684,0.01804146,-0.0217801
2.643675,-0.1285146,0.0008043314,0.004876122,-0.0007135719,0.01803906,-0.02177605
2.643675,-0.1284895,0.0008054057,0.004877301,-0.0007126778,0.01803608,-0.02177131
2.643675,-0.1285007,0.0008104013,0.004868863,-0.0007111952,0.01803654,-0.02177261
2.643675,-0.1285153,0.0008094074,0.004871092,-0.0007115006,0.01803868,-0.02177573
2.643675,-0.128504,0.0008028792,0.004869802,-0.0007127821,0.0180377,-0.02177395
2.643675,-0.1284885,0.0008037074,0.004871949,-0.0007126182,0.01803558,-0.02177077
2.643675,-0.1284905,0.0008074229,0.004867692,-0.0007124394,0.01803546,-0.02177082
2.643675,-0.1285123,0.0008139503,0.004877066,-0.0007119365,0.01803833,-0.02177517
2.643675,-0.1284958,0.0008056869,0.004877006,-0.0007131845,0.0180368,-0.02177248
2.643675,-0.1284703,0.0008130197,0.004873918,-0.0007117614,0.01803364,-0.02176756
2.643675,-0.1284852,0.0008104806,0.004877052,-0.0007122792,0.01803498,-0.02176997
2.643675,-0.1285023,0.0008111511,0.004882019,-0.000713259,0.01803685,-0.02177304
2.643675,-0.1285107,0.0008110967,0.004881334,-0.00071311,0.01803832,-0.02177504
2.643675,-0.1284741,0.0008106647,0.004884281,-0.0007135831,0.01803445,-0.02176861
2.643675,-0.1284612,0.0008100158,0.004880683,-0.0007131621,0.01803227,-0.02176559
2.643675,-0.12848,0.0008186445,0.004875459,-0.0007114187,0.01803438,-0.02176899
